,BOOK_NAME,ABSTRACT,URL
0,Love for a Deaf Rebel: Schizophrenia on Bowen Island,"Love for a Deaf Rebel introduces readers to a vivacious Canadian woman who was born into a silent world and with the foundation for schizophrenia. There are other books about discovering schizophrenia in the family and about deaf woman-hearing man relationships, but none that tells the true story of a woman who struggled with both.",https://www.smashwords.com/books/view/1076109
1,A Walk In My Shoes: An Autobiographical Self-Help Book About The Life I've Lived,"What started out as an autobiography to pass on to my future grandchildren turned into so much more. I have created a series of stories that will show you what the emotional state of a mentally and physically handicapped person is, and what lead up to that. For the handicapped, know that you aren't alone and I understand !",https://www.smashwords.com/books/view/1067248
2,AA Abbreviated,Getting sober in AA or other twelve step programs.,https://www.smashwords.com/books/view/1060935
3,Buah Dan Tanaman Herbal Yang Berkhasiat Untuk Menghilangkan Stress Depresi Edisi Bilingual,Mengenal Berbagai Buah Dan Tanaman Herbal Yang Berkhasiat Untuk Menghilangkan Stress Serta Depresi Plus Menjadikan Jiwa Menjadi Lebih Tenang Edisi Bilingual Dalam Bahasa Indonesia Dan Bahasa Sunda.,https://www.smashwords.com/books/view/1060929
4,Refreshing Mindset Made Easy,"Do you feel worried, frightened, nervous, frustrated, depressed, confused? Are your relationships a hot mess, and you're exhausted by the daily drama? Do you feel out of control, but do you want peace? Are you fed up with being sick and tired? Are you stuck worrying about the worst-case scenario for everything?
If you can ditch your excuses and take back your authority, this book is for you!!!",https://www.smashwords.com/books/view/1060894
5,Antidepressiva,"Depressief? Zoek niet naar excuses; zoek naar oplossingen.
Twintig verhalen vol informatie en humor, twee krachtige wapens om depressies mee te bestrijden.
Een depressieve zeurpiet denkt nu: «Antidepressiva in boekvorm? Werkt bij mij niet.» O nee? Lees gewoon dit boek. Óf je bent voorgoed genezen, óf je voelt je fantastisch omdat je gelijk hebt gehad. Lach je daarom? Natuurlijk. Het werkt nu al!",https://www.smashwords.com/books/view/1059735
6,I Can't Fix You--Because You're Not Broken: The Eight Keys to Freeing Yourself From Painful Thoughts and Feelings,"Peppered with personal examples and a playful, warm style, this accessible owner’s manual for the mind offers practical advice, relief, and loving encouragement for anyone struggling with emotional or physical pain who has become frustrated with traditional approaches and is ready to try something different.",https://www.smashwords.com/books/view/1054918
7,"Butchered by “Healthcare”  What to Do About Doctors, Big Pharma, and Corrupt Government Ruining Your Health and Medical Care","HOW YOU CAN SURVIVE “HEALTHCARE,” THE LARGEST AND MOST CORRUPT INDUSTRY IN AMERICA.   ✪ Learn what works. ✪ See through the lies. ✪ Handle hospitals. ✪ Find trustworthy doctors. ✪ Master your drugs and quit them with confidence. ✪ Consider holistic medicine.",https://www.smashwords.com/books/view/1046730
8,Lost and Misunderstood in Psychiatry but Offering Solutions and Making Resolve,"This book described my struggles in surviving through an oppressive and harmful psychiatric system and lack of good communication with people that misunderstood me. Psychiatry has been oppressive towards me and caused tremendous amounts of personal stress, distress, anguish, and duress. Writing this book expresses the real me and I appreciate your time reading my tumultuous travels and triumphs.",https://www.smashwords.com/books/view/1042604
9,Men's Mental Health,"A brief read for any man suffering from anxiety or depression, offering advice on how to keep safe, keep going and live life to the full.",https://www.smashwords.com/books/view/1031017
10,"The New Normal: A Spiritual, Metaphysical, and Common-Sense Take on the 2020 Coronavirus Emergency and Its Aftereffects","This book will help you to rise above the current climate of fear, turmoil, sadness, and uncertainty so that you may view what is going on right now from a higher vantage point and from the viewpoint of one who is mentally stable, emotionally mature, and spiritually grounded. If you've found yourself pulled into the drama of this worldwide crisis and feel like you need a break from it, here it is.",https://www.smashwords.com/books/view/1019995
11,"Моралният, медицински и научен провал на модерната психиатрия","В тази кратка книжка ще разберете по-добре:
-> Защо ООН и Съвета за Човешките Права обвинява модерната психиатрия, че се ""придържа към остарели биомедицински концепции и неуспешна система в полза на фармацевтичния бизнес"" водещи до ""принуда и злоупотреба с хора"" и още...",https://www.smashwords.com/books/view/1009498
12,Mom’s Favorite Reads eMagazine March 2020,"The March 2020 issue of Mom’s Favorite Reads, the magazine for the modern Mom.",https://www.smashwords.com/books/view/1007306
13,"An Anxiety Story - How I Recovered From Anxiety, Panic and Agoraphobia","I was you. I was once afraid, anxious, confused and lost. Crippled with panic attacks, trapped by agoraphobia, and riddled with constant anxiety, I nearly lost everything.  This is the story of my journey through anxiety, panic disorder, and agoraphobia. Let me share with you my path from an anxious nightmare, to a full, happy, normal life. A life no longer controlled by anxiety and fear.",https://www.smashwords.com/books/view/1003071
14,Mom’s Favorite Reads eMagazine February 2020,"The February issue of Mom’s Favorite Reads, the eMagazine for the modern Mom",https://www.smashwords.com/books/view/1002850
15,To Be A Man,"“Be a man.” “Man up.” How often do we hear these words? What do they even mean?

There is a lot of confusion about what it means to be a man today. Men and boys receive confusing, often conflicting information about how to behave as men should, which often leaves them uncertain, insecure, and feeling lost.",https://www.smashwords.com/books/view/994496
16,How to Make Fear Your Friend,"Learn to master fear and feel calm and confident on a daily basis.  This short ebook will give you the key information you need to understand what fear is, reduce the amount of anxiety your feel, and even use your feelings of fear to help you grow stronger emotionally.",https://www.smashwords.com/books/view/986132
