,SONG_NAME,URL
0,All of the Stars,https://www.youtube.com/watch?v=nkqVm5aiC28
1,Beautiful,https://www.youtube.com/watch?v=eAfyFTzZDMM
2,Born This Way,https://www.youtube.com/watch?v=3Vzrr64ZrVU
3,Don't Stop Believin',https://www.youtube.com/watch?v=1k8craCGpgs
4,FireFly,https://www.youtube.com/watch?v=JigjU373SKY
5,Fooling Yourself,https://www.youtube.com/watch?v=RwPS19swwiA
6,GIRL,https://www.youtube.com/watch?v=X0vXCY-h9ks
7,Grand Illusion,https://www.youtube.com/watch?v=nO62scTZ7Qk
8,He Will Hold Me Fast,https://www.youtube.com/watch?v=936BapRFHaQ&feature=youtu.be
9,Hero,https://www.youtube.com/watch?v=0IA3ZvCkRkQ
10,Higher Power,https://www.youtube.com/watch?v=nEMTu-VxixY
11,I'm Alive,https://www.youtube.com/watch?v=WLgLfD3wElQ
12,Inner Demons,https://www.youtube.com/watch?v=EPJSkSn7rt0
13,Its Going to Be Alright,https://www.youtube.com/watch?v=p6shQTaUxYo
14,I Will Always Love You,https://www.youtube.com/watch?v=3JWTaaS7LdU
15,I Won't Back Down,https://www.youtube.com/watch?v=nvlTJrNJ5lA
16,Healing Meditation,https://open.spotify.com/album/0YOGo8U8fwK6529HcMqUoY?si=FKnz6__CRweajAebjQK73g
17,Only Time,https://www.youtube.com/watch?v=7wfYIMyS_dI
18,Not Dead Yet,https://www.youtube.com/watch?v=UZBn18FaLIU
19,Seasons of Love,https://www.youtube.com/watch?v=hj7LRuusFqo
20,Shades Official Music Video,https://youtu.be/qzz6sgGjHbg
21,Somewhere in Time,https://www.youtube.com/watch?v=esrTfwBiOM0
22,This is It,https://www.youtube.com/watch?v=U8SSdyflGN4
23,Unwell,https://www.youtube.com/watch?v=WziA88-n02k
24,When the Seasons Change,https://www.youtube.com/watch?v=8rReM1R-SFw
25,Wonder,https://www.youtube.com/watch?v=6zpYFAzhAZY
26,You Raise Me Up,https://www.youtube.com/watch?v=aJxrX42WcjQ
